,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
3001,May,4,Tuesday,Toyota,Rural,Thursday,May,4,Male,Married,60.0,Policy Holder,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
3002,Jun,3,Thursday,Chevrolet,Rural,Thursday,Jun,5,Male,Married,34.0,Third Party,Sedan,20000 to 29000,0,4,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3003,Jun,5,Tuesday,Mazda,Urban,Wednesday,Jun,5,Male,Married,52.0,Policy Holder,Sport,20000 to 29000,0,1,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,1 year,2 vehicles,1994,Liability
3004,Jul,5,Sunday,Mazda,Urban,Thursday,Aug,1,Male,Married,56.0,Policy Holder,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3005,Aug,5,Sunday,Honda,Urban,Thursday,Sep,1,Male,Married,54.0,Policy Holder,Sport,more than 69000,0,5,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3006,Aug,4,Saturday,Mazda,Urban,Tuesday,Aug,5,Male,Married,41.0,Policy Holder,Sport,20000 to 29000,0,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3007,Aug,4,Thursday,Pontiac,Urban,Tuesday,Sep,1,Male,Married,29.0,Policy Holder,Sport,20000 to 29000,0,13,700,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3008,Sep,4,Wednesday,Accura,Urban,Wednesday,Sep,4,Male,Married,42.0,Third Party,Sport,20000 to 29000,0,4,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3009,Sep,3,Sunday,Pontiac,Urban,Monday,Sep,3,Male,Single,23.0,Third Party,Sedan,20000 to 29000,0,13,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,All Perils
3010,Apr,3,Wednesday,Pontiac,Urban,Monday,May,2,Male,Married,37.0,Policy Holder,Sedan,20000 to 29000,1,10,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3011,Oct,1,Sunday,Ford,Urban,Wednesday,Oct,1,Male,Married,66.0,Policy Holder,Sport,40000 to 59000,0,15,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
3012,Oct,4,Saturday,Honda,Rural,Thursday,Oct,4,Male,Married,28.0,Third Party,Sedan,20000 to 29000,0,13,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3013,Nov,3,Wednesday,Accura,Urban,Thursday,Nov,4,Male,Married,46.0,Third Party,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3014,May,3,Tuesday,Mazda,Urban,Tuesday,May,3,Male,Married,27.0,Policy Holder,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3015,Jun,1,Tuesday,Pontiac,Urban,Tuesday,Jun,1,Female,Single,36.0,Policy Holder,Sedan,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3016,Sep,4,Friday,Toyota,Urban,Saturday,Sep,4,Male,Married,76.0,Policy Holder,Sedan,less than 20000,0,2,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
3017,Aug,4,Monday,Toyota,Urban,Wednesday,Aug,4,Male,Married,30.0,Third Party,Sport,30000 to 39000,0,8,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3018,May,1,Friday,Honda,Urban,Monday,May,2,Male,Married,27.0,Policy Holder,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3019,Jul,3,Tuesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,38.0,Third Party,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3020,Jul,2,Tuesday,Mazda,Urban,Wednesday,Jul,2,Male,Married,71.0,Third Party,Sedan,more than 69000,0,8,400,1,more than 30,more than 30,none,6 years,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
3021,Sep,1,Saturday,Chevrolet,Urban,Tuesday,Sep,2,Male,Single,29.0,Policy Holder,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3022,Aug,5,Tuesday,Mazda,Urban,Tuesday,Aug,5,Male,Married,58.0,Policy Holder,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
3023,Aug,5,Wednesday,Toyota,Urban,Thursday,Sep,1,Female,Single,53.0,Policy Holder,Sport,20000 to 29000,0,1,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3024,Aug,3,Friday,Chevrolet,Urban,Monday,Sep,1,Male,Married,27.0,Policy Holder,Sport,20000 to 29000,0,8,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
3025,Dec,2,Saturday,Toyota,Urban,Wednesday,Dec,5,Male,Single,37.0,Policy Holder,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3026,Nov,5,Tuesday,Honda,Urban,Tuesday,Nov,5,Male,Married,45.0,Policy Holder,Sport,20000 to 29000,0,1,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3027,Aug,4,Friday,Toyota,Urban,Monday,Sep,2,Male,Single,37.0,Policy Holder,Sport,30000 to 39000,0,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3028,Aug,3,Monday,Mazda,Urban,Wednesday,Sep,1,Male,Married,30.0,Third Party,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3029,Aug,3,Tuesday,Toyota,Urban,Thursday,Sep,2,Male,Single,29.0,Policy Holder,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,none,4 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision
3030,Sep,2,Tuesday,Mercury,Urban,Tuesday,Sep,2,Male,Married,34.0,Policy Holder,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3031,Sep,3,Thursday,Mazda,Urban,Thursday,Sep,3,Male,Single,23.0,Policy Holder,Sedan,20000 to 29000,0,13,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
3032,Apr,4,Thursday,Chevrolet,Urban,Friday,Jul,1,Male,Married,29.0,Policy Holder,Sedan,30000 to 39000,1,10,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3033,Sep,5,Friday,Honda,Urban,Monday,Oct,1,Male,Married,35.0,Policy Holder,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3034,Sep,4,Wednesday,Mazda,Urban,Thursday,Sep,5,Female,Married,31.0,Third Party,Sedan,less than 20000,0,9,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,All Perils
3035,Sep,3,Friday,Pontiac,Rural,Friday,Sep,4,Male,Married,42.0,Policy Holder,Sport,20000 to 29000,0,16,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3036,Dec,1,Sunday,Honda,Urban,Tuesday,Dec,1,Male,Married,53.0,Policy Holder,Sport,more than 69000,0,10,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3037,Apr,4,Friday,Toyota,Urban,Tuesday,Apr,4,Male,Married,39.0,Third Party,Sedan,less than 20000,0,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3038,Oct,1,Thursday,Chevrolet,Urban,Friday,Oct,1,Female,Married,47.0,Policy Holder,Sport,40000 to 59000,0,8,700,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3039,Sep,2,Friday,Pontiac,Urban,Monday,Sep,2,Male,Married,63.0,Policy Holder,Sedan,20000 to 29000,0,3,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3040,Sep,2,Friday,Mazda,Urban,Friday,Sep,2,Female,Single,39.0,Policy Holder,Sport,20000 to 29000,0,12,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
3041,Apr,4,Friday,Honda,Urban,Tuesday,Apr,4,Male,Single,71.0,Policy Holder,Sedan,more than 69000,1,9,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
3042,Sep,2,Thursday,Ford,Urban,Monday,Sep,2,Male,Married,71.0,Policy Holder,Sport,40000 to 59000,0,3,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3043,Sep,1,Wednesday,Mazda,Urban,Thursday,Sep,2,Female,Single,44.0,Third Party,Sport,30000 to 39000,0,8,400,2,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
3044,Apr,4,Friday,Honda,Urban,Tuesday,Apr,4,Male,Single,33.0,Policy Holder,Sedan,more than 69000,1,2,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
3045,Aug,2,Friday,Pontiac,Urban,Tuesday,Aug,4,Male,Single,33.0,Third Party,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
3046,May,3,Friday,Mazda,Urban,Wednesday,Sep,1,Male,Married,52.0,Policy Holder,Sport,20000 to 29000,0,1,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3047,May,1,Wednesday,Chevrolet,Urban,Wednesday,May,1,Male,Married,62.0,Policy Holder,Sport,20000 to 29000,0,10,400,2,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
3048,Dec,3,Monday,Pontiac,Urban,Thursday,Dec,4,Male,Single,18.0,Third Party,Sedan,20000 to 29000,0,8,400,3,more than 30,more than 30,2 to 4,4 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3049,Sep,3,Thursday,Honda,Urban,Wednesday,Sep,4,Female,Single,40.0,Third Party,Sedan,30000 to 39000,0,2,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3050,Sep,3,Thursday,Honda,Urban,Thursday,Sep,3,Male,Married,44.0,Policy Holder,Sedan,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3051,Sep,2,Saturday,Pontiac,Urban,Monday,Sep,2,Male,Married,41.0,Policy Holder,Sport,30000 to 39000,0,12,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3052,Jul,4,Tuesday,Mazda,Urban,Monday,Aug,1,Male,Single,26.0,Third Party,Sport,more than 69000,0,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3053,Apr,4,Friday,Pontiac,Urban,Friday,Jun,3,Male,Single,25.0,Policy Holder,Sedan,20000 to 29000,1,6,400,4,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
3054,Jun,4,Tuesday,Honda,Urban,Monday,Jul,3,Female,Single,21.0,Policy Holder,Sedan,less than 20000,0,1,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3055,Feb,3,Friday,Mazda,Urban,Wednesday,Feb,4,Male,Single,29.0,Policy Holder,Sedan,20000 to 29000,0,12,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3056,Feb,3,Thursday,Pontiac,Urban,Friday,Mar,2,Male,Single,33.0,Policy Holder,Sedan,20000 to 29000,0,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3057,Jan,2,Sunday,Pontiac,Urban,Thursday,May,4,Male,Married,32.0,Policy Holder,Utility,40000 to 59000,0,8,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,All Perils
3058,Jul,3,Monday,Pontiac,Urban,Monday,Jul,3,Male,Married,44.0,Policy Holder,Sedan,20000 to 29000,0,16,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3059,May,2,Sunday,Toyota,Urban,Monday,May,2,Male,Married,55.0,Policy Holder,Sport,20000 to 29000,0,12,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3060,Apr,5,Sunday,Pontiac,Urban,Tuesday,May,1,Male,Married,76.0,Third Party,Sedan,20000 to 29000,0,6,500,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
3061,Apr,4,Friday,Toyota,Rural,Tuesday,May,1,Male,Married,73.0,Third Party,Sedan,20000 to 29000,0,13,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
3062,Apr,5,Saturday,Mazda,Urban,Monday,May,2,Male,Single,31.0,Policy Holder,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3063,Apr,4,Thursday,Toyota,Urban,Monday,May,1,Male,Married,33.0,Third Party,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3064,Apr,4,Saturday,Accura,Urban,Tuesday,May,1,Male,Single,32.0,Policy Holder,Sedan,30000 to 39000,0,11,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3065,Apr,4,Sunday,Accura,Rural,Wednesday,May,1,Male,Married,35.0,Policy Holder,Sedan,30000 to 39000,0,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3066,Apr,4,Saturday,Chevrolet,Urban,Wednesday,Apr,4,Male,Married,36.0,Policy Holder,Sedan,30000 to 39000,0,3,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
3067,Apr,3,Tuesday,Mazda,Urban,Tuesday,May,1,Male,Married,53.0,Policy Holder,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,1,6 years,41 to 50,Yes,No,External,none,no change,1 vehicle,1994,Collision
3068,Dec,5,Wednesday,Pontiac,Urban,Monday,Jan,1,Male,Married,49.0,Policy Holder,Sedan,30000 to 39000,0,2,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision
3069,Dec,4,Friday,Chevrolet,Urban,Friday,Dec,4,Male,Married,41.0,Policy Holder,Utility,more than 69000,0,4,700,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
3070,Dec,4,Thursday,Honda,Urban,Wednesday,Dec,5,Male,Married,33.0,Third Party,Sport,30000 to 39000,0,3,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3071,Dec,2,Tuesday,Pontiac,Urban,Tuesday,Dec,3,Female,Single,30.0,Third Party,Sedan,20000 to 29000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3072,Dec,2,Monday,Mazda,Urban,Friday,Dec,4,Male,Married,30.0,Policy Holder,Sedan,30000 to 39000,0,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3073,Oct,3,Monday,Toyota,Urban,Monday,Oct,3,Male,Married,34.0,Policy Holder,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3074,Sep,4,Monday,Toyota,Urban,Thursday,Sep,5,Male,Married,46.0,Policy Holder,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3075,Sep,2,Wednesday,Honda,Urban,Monday,Sep,3,Female,Divorced,46.0,Policy Holder,Sport,20000 to 29000,0,9,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,3 to 4,1994,Liability
3076,Sep,1,Tuesday,Mazda,Urban,Tuesday,Sep,1,Female,Single,50.0,Policy Holder,Sport,20000 to 29000,0,1,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3077,Sep,1,Tuesday,Mazda,Urban,Thursday,Sep,3,Male,Married,67.0,Third Party,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
3078,Apr,4,Saturday,Toyota,Urban,Friday,May,1,Male,Married,34.0,Policy Holder,Sedan,20000 to 29000,1,2,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3079,Aug,2,Sunday,Chevrolet,Urban,Monday,Aug,2,Male,Married,47.0,Policy Holder,Sedan,30000 to 39000,0,12,400,3,more than 30,more than 30,none,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3080,Jul,3,Saturday,Toyota,Urban,Monday,Jul,3,Male,Married,41.0,Policy Holder,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3081,Jul,3,Thursday,Honda,Urban,Thursday,Jul,4,Male,Single,30.0,Third Party,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3082,Jul,2,Thursday,Toyota,Urban,Wednesday,Jul,4,Male,Married,61.0,Policy Holder,Sedan,20000 to 29000,0,8,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3083,Jul,2,Thursday,Pontiac,Urban,Monday,Jul,3,Male,Married,56.0,Policy Holder,Sport,30000 to 39000,0,8,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
3084,Jun,2,Thursday,Pontiac,Urban,Monday,Jun,2,Female,Single,45.0,Policy Holder,Sport,30000 to 39000,0,14,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3085,Jun,2,Wednesday,Toyota,Urban,Thursday,Jun,4,Male,Married,47.0,Policy Holder,Sedan,20000 to 29000,0,12,400,3,none,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3086,May,3,Thursday,Honda,Urban,Thursday,May,3,Male,Single,34.0,Policy Holder,Sport,more than 69000,0,5,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
3087,Apr,4,Saturday,Toyota,Rural,Tuesday,Apr,4,Female,Single,34.0,Policy Holder,Sedan,20000 to 29000,1,7,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,All Perils
3088,Apr,5,Friday,Toyota,Urban,Wednesday,May,2,Male,Married,28.0,Policy Holder,Sedan,more than 69000,0,1,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
3089,Apr,3,Tuesday,Toyota,Urban,Wednesday,Apr,3,Male,Married,60.0,Policy Holder,Sport,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
3090,Apr,3,Wednesday,Honda,Urban,Wednesday,May,1,Male,Married,49.0,Third Party,Sport,more than 69000,0,15,400,1,8 to 15,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
3091,Jun,4,Saturday,Toyota,Urban,Monday,Jun,4,Male,Married,27.0,Policy Holder,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3092,Oct,2,Wednesday,Mazda,Urban,Wednesday,Oct,3,Male,Married,27.0,Policy Holder,Utility,more than 69000,0,3,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
3093,May,2,Saturday,Honda,Rural,Tuesday,May,2,Male,Single,69.0,Policy Holder,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3094,Apr,3,Friday,Pontiac,Urban,Tuesday,May,2,Male,Married,37.0,Policy Holder,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,1 year,1 vehicle,1994,All Perils
3095,Apr,4,Sunday,Pontiac,Urban,Tuesday,May,1,Female,Married,27.0,Policy Holder,Sedan,20000 to 29000,1,9,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3096,Feb,3,Friday,Honda,Urban,Thursday,Feb,4,Male,Single,30.0,Policy Holder,Sport,more than 69000,0,15,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
3097,Apr,4,Sunday,Pontiac,Urban,Tuesday,May,1,Male,Single,30.0,Policy Holder,Sedan,20000 to 29000,1,16,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
3098,Apr,4,Sunday,Pontiac,Urban,Tuesday,Apr,4,Male,Married,35.0,Third Party,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
3099,Feb,2,Saturday,Pontiac,Urban,Wednesday,Mar,1,Male,Single,29.0,Policy Holder,Sedan,20000 to 29000,0,2,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3100,Mar,1,Monday,Toyota,Urban,Tuesday,Mar,2,Male,Married,49.0,Policy Holder,Sport,more than 69000,0,16,700,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3101,Apr,2,Sunday,Honda,Urban,Wednesday,Apr,3,Male,Married,53.0,Policy Holder,Sport,30000 to 39000,0,12,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
3102,Dec,3,Friday,Toyota,Urban,Friday,Dec,3,Male,Married,26.0,Policy Holder,Sport,30000 to 39000,0,2,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3103,Dec,3,Friday,Toyota,Urban,Friday,Dec,4,Male,Single,29.0,Policy Holder,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
3104,Dec,3,Sunday,Mazda,Urban,Thursday,Dec,4,Male,Married,38.0,Policy Holder,Sedan,30000 to 39000,0,16,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3105,Dec,3,Monday,Toyota,Urban,Wednesday,Dec,3,Male,Single,21.0,Policy Holder,Sedan,30000 to 39000,0,3,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3106,Dec,3,Saturday,Ford,Urban,Thursday,Dec,4,Female,Single,32.0,Policy Holder,Sedan,less than 20000,0,15,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
3107,Dec,3,Monday,VW,Urban,Monday,Dec,3,Male,Married,42.0,Policy Holder,Sport,40000 to 59000,0,6,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
3108,Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,4,Male,Single,28.0,Policy Holder,Sport,20000 to 29000,0,9,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
3109,Dec,4,Saturday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,53.0,Policy Holder,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
3110,Dec,4,Friday,Toyota,Rural,Friday,Dec,4,Male,Married,36.0,Policy Holder,Sport,30000 to 39000,0,6,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3111,Dec,4,Friday,Chevrolet,Urban,Tuesday,Dec,4,Male,Married,60.0,Policy Holder,Sedan,30000 to 39000,0,13,500,4,more than 30,more than 30,1,more than 7,51 to 65,Yes,Yes,External,none,no change,1 vehicle,1994,All Perils
3112,Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,4,Male,Single,18.0,Policy Holder,Sedan,20000 to 29000,0,3,400,3,more than 30,more than 30,none,4 years,21 to 25,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils
