PolicyNumber,DayOfWeek,WeekOfMonth,Month,Year,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,AccidentArea,NumberOfCars,Fault,PoliceReportFiled,WitnessPresent,Sex,Age,AgeOfPolicyHolder,MaritalStatus,DriverRating,Make,VehicleCategory,VehiclePrice,AgeOfVehicle,BasePolicy,PolicyType,RepNumber,AgentType,Deductible,Days_Policy_Accident,Days_Policy_Claim,NumberOfSuppliments,AddressChange_Claim,PastNumberOfClaims,FraudFound_P
3297,Thursday,5,Nov,1994,Tuesday,Dec,1,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,1,Honda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,1 to 2,no change,more than 4,0
3298,Tuesday,1,May,1994,Thursday,May,1,Urban,2 vehicles,Policy Holder,No,No,Male,46,41 to 50,Married,1,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,14,External,400,more than 30,more than 30,none,4 to 8 years,1,1
3299,Friday,1,Sep,1994,Friday,Sep,5,Urban,1 vehicle,Policy Holder,No,No,Female,33,31 to 35,Married,1,Mazda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,1 to 2,no change,none,0
3300,Friday,5,Dec,1994,Monday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,63,51 to 65,Married,1,Chevrolet,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,none,no change,2 to 4,0
3301,Saturday,4,Jul,1994,Wednesday,Jul,4,Urban,1 vehicle,Policy Holder,No,No,Male,47,41 to 50,Married,4,Pontiac,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,none,no change,none,0
3302,Sunday,3,Aug,1994,Tuesday,Aug,3,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Married,4,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
3303,Tuesday,4,Jul,1994,Thursday,Aug,2,Urban,1 vehicle,Third Party,No,No,Female,35,31 to 35,Married,1,Pontiac,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,none,no change,1,0
3304,Sunday,3,Oct,1994,Monday,Oct,4,Urban,1 vehicle,Policy Holder,No,No,Male,55,41 to 50,Married,3,Honda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,none,no change,1,0
3305,Friday,1,Mar,1994,Monday,Mar,3,Urban,1 vehicle,Policy Holder,No,No,Male,33,31 to 35,Married,1,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,none,no change,more than 4,0
3306,Friday,5,Sep,1994,Thursday,Oct,1,Urban,1 vehicle,Policy Holder,Yes,No,Male,47,41 to 50,Married,3,Ford,Utility,more than 69000,more than 7,All Perils,Utility - All Perils,2,External,400,more than 30,more than 30,more than 5,no change,1,0
3307,Thursday,5,Sep,1994,Tuesday,Oct,1,Urban,1 vehicle,Policy Holder,No,No,Female,23,26 to 30,Single,1,Honda,Sedan,20000 to 29000,3 years,All Perils,Sedan - All Perils,14,External,400,more than 30,more than 30,none,no change,none,0
3308,Wednesday,4,Sep,1994,Wednesday,Sep,4,Urban,1 vehicle,Policy Holder,No,No,Male,50,41 to 50,Single,2,Pontiac,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,1 to 2,no change,1,0
3309,Wednesday,4,May,1994,Thursday,May,4,Urban,1 vehicle,Third Party,No,No,Male,26,31 to 35,Married,3,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,3,Internal,400,more than 30,more than 30,none,no change,1,0
3310,Thursday,4,May,1994,Monday,May,5,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,2,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,none,no change,none,0
3311,Thursday,4,May,1994,Friday,May,4,Urban,1 vehicle,Third Party,No,No,Male,80,over 65,Married,3,Honda,Sport,more than 69000,7 years,Collision,Sport - Collision,16,External,400,more than 30,more than 30,none,no change,none,0
3312,Thursday,3,Jan,1994,Monday,Jan,4,Urban,1 vehicle,Policy Holder,Yes,No,Male,55,41 to 50,Married,4,Honda,Sport,more than 69000,more than 7,Collision,Sport - Collision,8,External,400,more than 30,more than 30,none,no change,none,0
3313,Friday,3,Jan,1994,Friday,Jan,4,Urban,1 vehicle,Third Party,Yes,No,Female,22,26 to 30,Single,2,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,none,no change,2 to 4,0
3314,Monday,3,Jan,1994,Tuesday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,2,Toyota,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
3315,Tuesday,3,Jan,1994,Friday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Female,21,26 to 30,Single,2,Pontiac,Sport,less than 20000,5 years,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
3316,Monday,1,May,1994,Monday,May,5,Urban,1 vehicle,Policy Holder,No,No,Female,46,41 to 50,Married,4,Chevrolet,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,15,External,500,more than 30,more than 30,1 to 2,2 to 3 years,1,0
3317,Wednesday,3,May,1994,Monday,May,4,Urban,1 vehicle,Third Party,No,No,Male,42,36 to 40,Married,4,Honda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3318,Sunday,2,Jun,1994,Monday,Jun,2,Urban,1 vehicle,Policy Holder,No,No,Male,24,26 to 30,Single,2,Pontiac,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3319,Thursday,1,Aug,1994,Thursday,Aug,1,Urban,2 vehicles,Policy Holder,No,No,Male,48,41 to 50,Single,3,Mazda,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,none,4 to 8 years,more than 4,0
3320,Monday,4,Sep,1994,Tuesday,Oct,1,Rural,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Single,1,Toyota,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
3321,Monday,1,Oct,1994,Monday,Oct,1,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Married,3,Mazda,Sport,more than 69000,7 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3322,Wednesday,2,Oct,1994,Monday,Dec,2,Urban,3 to 4,Third Party,No,No,Male,44,36 to 40,Married,2,Pontiac,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3323,Saturday,3,Dec,1994,Tuesday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,28,31 to 35,Single,2,Toyota,Sedan,30000 to 39000,5 years,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,none,no change,2 to 4,0
3324,Monday,3,Dec,1994,Wednesday,Dec,4,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Married,4,Ford,Sedan,30000 to 39000,6 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,none,no change,more than 4,0
3325,Friday,2,Jan,1994,Wednesday,Jan,3,Urban,1 vehicle,Third Party,No,No,Male,27,31 to 35,Single,1,Chevrolet,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
3326,Monday,1,Apr,1994,Friday,Apr,2,Urban,1 vehicle,Policy Holder,No,No,Male,64,51 to 65,Married,3,Honda,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,none,no change,2 to 4,0
3327,Tuesday,1,Apr,1994,Tuesday,Apr,1,Urban,1 vehicle,Third Party,No,No,Male,61,51 to 65,Married,3,Mazda,Sport,more than 69000,more than 7,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3328,Tuesday,3,Jun,1994,Tuesday,Jun,3,Urban,1 vehicle,Policy Holder,No,No,Male,62,51 to 65,Married,1,Mazda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
3329,Sunday,4,Aug,1994,Wednesday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,42,36 to 40,Married,3,VW,Sport,more than 69000,7 years,Liability,Sedan - Liability,14,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3330,Thursday,3,Sep,1994,Monday,Oct,1,Urban,1 vehicle,Policy Holder,No,No,Male,26,31 to 35,Single,2,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,3 to 5,no change,1,0
3331,Wednesday,3,Dec,1994,Friday,Dec,4,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Married,1,Dodge,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,none,no change,1,0
3332,Tuesday,4,Dec,1994,Tuesday,Dec,4,Urban,1 vehicle,Policy Holder,No,No,Female,33,31 to 35,Single,4,Mazda,Sport,20000 to 29000,4 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
3333,Sunday,1,Oct,1994,Monday,Oct,1,Rural,1 vehicle,Third Party,Yes,No,Male,31,31 to 35,Married,4,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,2 to 4,0
3334,Wednesday,4,Jul,1994,Monday,Aug,2,Urban,1 vehicle,Third Party,No,No,Male,49,41 to 50,Married,2,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,8,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
3335,Wednesday,1,May,1994,Friday,May,2,Urban,1 vehicle,Policy Holder,No,No,Male,20,21 to 25,Single,2,Honda,Sport,more than 69000,3 years,Collision,Sport - Collision,6,External,400,more than 30,more than 30,none,no change,none,1
3336,Friday,5,Mar,1994,Tuesday,Jun,2,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Single,4,Honda,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,4,External,400,more than 30,more than 30,none,no change,more than 4,0
3337,Wednesday,3,Jan,1994,Tuesday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,60,51 to 65,Married,2,Pontiac,Sedan,less than 20000,more than 7,All Perils,Sedan - All Perils,6,External,400,more than 30,more than 30,none,no change,none,0
3338,Friday,2,Jan,1994,Tuesday,Jan,3,Rural,1 vehicle,Third Party,No,No,Male,76,over 65,Married,1,Chevrolet,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,more than 5,no change,1,0
3339,Saturday,2,Nov,1994,Wednesday,Nov,3,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,4,Chevrolet,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3340,Monday,2,Nov,1994,Tuesday,Nov,2,Urban,2 vehicles,Policy Holder,No,No,Male,34,31 to 35,Single,3,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,16,External,400,more than 30,more than 30,more than 5,4 to 8 years,1,0
3341,Friday,1,Nov,1994,Thursday,Nov,2,Urban,1 vehicle,Third Party,No,No,Female,34,31 to 35,Married,2,Honda,Sport,more than 69000,6 years,Collision,Sport - Collision,7,External,400,more than 30,more than 30,none,no change,none,0
3342,Friday,3,Oct,1994,Tuesday,Oct,3,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Married,3,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
3343,Tuesday,1,Oct,1994,Tuesday,Oct,1,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Married,3,Pontiac,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,more than 5,no change,none,0
3344,Thursday,2,Sep,1994,Friday,Sep,2,Urban,1 vehicle,Policy Holder,No,No,Male,30,31 to 35,Single,3,Mazda,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,none,no change,1,0
3345,Saturday,4,Jul,1994,Tuesday,Aug,3,Urban,1 vehicle,Third Party,No,No,Male,44,36 to 40,Single,4,Chevrolet,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,none,no change,more than 4,0
3346,Sunday,1,Jul,1994,Monday,Jul,1,Rural,1 vehicle,Third Party,No,No,Male,55,41 to 50,Married,2,Mazda,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,8,External,400,more than 30,more than 30,more than 5,no change,none,0
3347,Thursday,1,Jun,1994,Friday,Jun,2,Urban,1 vehicle,Third Party,No,No,Male,55,41 to 50,Single,4,Ford,Sedan,less than 20000,more than 7,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,3 to 5,no change,1,0
3348,Wednesday,2,May,1994,Wednesday,May,2,Urban,1 vehicle,Policy Holder,No,No,Male,26,31 to 35,Married,4,Chevrolet,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,1 to 2,no change,1,0
3349,Sunday,1,May,1994,Wednesday,May,1,Urban,1 vehicle,Policy Holder,No,No,Male,0,16 to 17,Single,2,Honda,Sport,more than 69000,new,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,none,no change,2 to 4,0
3350,Saturday,2,Jun,1994,Thursday,Jun,3,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Married,4,Accura,Utility,more than 69000,6 years,All Perils,Utility - All Perils,15,External,400,more than 30,more than 30,none,no change,1,0
3351,Friday,1,Jun,1994,Monday,Jun,1,Urban,1 vehicle,Policy Holder,No,No,Female,31,31 to 35,Single,4,Pontiac,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,none,no change,1,0
3352,Friday,1,Jun,1994,Tuesday,Jun,1,Urban,1 vehicle,Policy Holder,No,No,Male,53,41 to 50,Married,2,Chevrolet,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,none,no change,1,0
3353,Monday,3,Oct,1994,Wednesday,Oct,3,Urban,1 vehicle,Policy Holder,No,No,Female,37,36 to 40,Single,2,Chevrolet,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,none,no change,more than 4,0
3354,Monday,3,Oct,1994,Tuesday,Oct,3,Urban,1 vehicle,Third Party,No,No,Male,64,51 to 65,Married,3,Pontiac,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,7,External,400,more than 30,more than 30,none,no change,2 to 4,0
3355,Monday,3,Oct,1994,Thursday,Oct,3,Urban,1 vehicle,Third Party,No,No,Female,27,31 to 35,Single,4,Honda,Sedan,less than 20000,6 years,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,none,no change,more than 4,0
3356,Wednesday,1,Aug,1994,Friday,Oct,2,Urban,1 vehicle,Policy Holder,No,No,Male,68,over 65,Married,1,Toyota,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,4,External,400,more than 30,more than 30,none,no change,none,0
3357,Thursday,1,May,1994,Thursday,May,2,Urban,1 vehicle,Third Party,No,No,Male,46,41 to 50,Married,4,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,none,0
3358,Sunday,5,Jan,1994,Thursday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Female,29,31 to 35,Single,2,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,none,no change,none,0
3359,Sunday,2,May,1994,Monday,May,2,Urban,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Single,3,Chevrolet,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,none,no change,2 to 4,0
3360,Thursday,4,Mar,1994,Friday,Apr,4,Rural,1 vehicle,Third Party,No,Yes,Male,38,36 to 40,Married,4,Accura,Sedan,30000 to 39000,6 years,All Perils,Sedan - All Perils,15,External,400,1 to 7,more than 30,none,no change,1,0
3361,Wednesday,3,Oct,1994,Friday,Oct,3,Urban,2 vehicles,Policy Holder,No,No,Female,34,31 to 35,Single,4,Chevrolet,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,1 to 2,4 to 8 years,none,0
3362,Saturday,5,Jan,1994,Thursday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Single,4,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,1 to 2,no change,none,0
3363,Tuesday,2,Jan,1994,Thursday,Jan,2,Rural,3 to 4,Third Party,No,No,Male,26,31 to 35,Married,3,Toyota,Sedan,less than 20000,7 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,none,0
3364,Friday,2,Oct,1994,Tuesday,Oct,3,Urban,1 vehicle,Third Party,No,No,Male,59,51 to 65,Married,1,Pontiac,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,8,External,400,more than 30,more than 30,3 to 5,no change,none,0
3365,Tuesday,5,Mar,1994,Friday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Married,1,Pontiac,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,none,no change,2 to 4,0
3366,Saturday,5,May,1994,Monday,May,5,Urban,1 vehicle,Third Party,No,No,Male,38,36 to 40,Married,1,Honda,Sedan,more than 69000,7 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,more than 5,no change,none,0
3367,Wednesday,4,Aug,1994,Thursday,Aug,4,Urban,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Married,1,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,14,External,500,more than 30,more than 30,none,2 to 3 years,2 to 4,0
3368,Saturday,1,Dec,1994,Monday,Dec,1,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,3,Ford,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,more than 5,1 year,2 to 4,0
3369,Monday,4,Dec,1994,Wednesday,Dec,5,Urban,1 vehicle,Policy Holder,No,No,Female,32,31 to 35,Married,4,Mazda,Sport,20000 to 29000,4 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,1 to 2,no change,none,0
3370,Friday,4,Dec,1994,Wednesday,Dec,5,Urban,1 vehicle,Third Party,No,No,Male,35,31 to 35,Married,2,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
3371,Thursday,1,May,1994,Friday,May,1,Urban,1 vehicle,Third Party,No,No,Male,34,31 to 35,Married,3,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,13,External,400,more than 30,more than 30,none,no change,2 to 4,0
3372,Tuesday,2,Jan,1994,Tuesday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Female,50,41 to 50,Married,3,Toyota,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,1 to 2,no change,more than 4,0
3373,Wednesday,3,Jun,1994,Wednesday,Jun,3,Urban,1 vehicle,Policy Holder,No,No,Male,26,31 to 35,Married,3,Pontiac,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,more than 5,no change,none,0
3374,Thursday,1,Jul,1994,Wednesday,Jul,3,Urban,1 vehicle,Policy Holder,No,No,Male,32,31 to 35,Single,4,Mazda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,none,no change,more than 4,0
3375,Saturday,5,Jul,1994,Wednesday,Aug,1,Urban,1 vehicle,Policy Holder,No,No,Female,33,31 to 35,Single,1,Pontiac,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,1 to 2,no change,1,0
3376,Friday,3,Oct,1994,Monday,Oct,4,Urban,1 vehicle,Policy Holder,Yes,No,Male,28,31 to 35,Married,1,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,14,External,400,more than 30,more than 30,more than 5,no change,1,0
3377,Saturday,4,Oct,1994,Monday,Oct,4,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,3,Toyota,Sport,more than 69000,more than 7,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,none,no change,none,0
3378,Thursday,2,Jul,1994,Wednesday,Jul,3,Urban,1 vehicle,Third Party,No,No,Male,32,31 to 35,Single,1,Honda,Sedan,30000 to 39000,6 years,Collision,Sedan - Collision,16,External,400,more than 30,more than 30,none,no change,1,0
3379,Monday,2,Dec,1994,Thursday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,21,26 to 30,Single,2,Mazda,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,none,no change,2 to 4,0
3380,Thursday,1,Nov,1994,Friday,Nov,2,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,3,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,4,External,700,more than 30,more than 30,more than 5,no change,2 to 4,0
3381,Friday,5,Oct,1994,Tuesday,Nov,2,Urban,1 vehicle,Third Party,No,Yes,Female,39,36 to 40,Single,1,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,13,External,400,none,15 to 30,none,no change,none,0
3382,Friday,4,Sep,1994,Monday,Sep,4,Urban,2 vehicles,Third Party,No,No,Male,26,31 to 35,Married,4,Mazda,Sedan,more than 69000,7 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,none,4 to 8 years,2 to 4,0
3383,Monday,4,Aug,1994,Tuesday,Aug,4,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Single,4,Honda,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,none,no change,more than 4,0
3384,Monday,3,Jul,1994,Tuesday,Jul,3,Urban,1 vehicle,Policy Holder,Yes,No,Male,60,51 to 65,Married,4,Accura,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,14,External,400,more than 30,more than 30,1 to 2,no change,1,0
3385,Thursday,1,May,1994,Wednesday,May,2,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Single,3,Chevrolet,Sedan,20000 to 29000,4 years,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,2 to 4,0
3386,Friday,3,Aug,1994,Wednesday,Sep,2,Urban,1 vehicle,Third Party,No,No,Male,22,26 to 30,Single,4,Honda,Sport,more than 69000,6 years,Collision,Sport - Collision,15,External,400,more than 30,more than 30,none,no change,2 to 4,0
3387,Thursday,1,May,1994,Monday,Jun,1,Urban,1 vehicle,Third Party,Yes,No,Male,53,41 to 50,Married,2,Mazda,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,none,no change,none,0
3388,Thursday,4,Jun,1994,Tuesday,Jun,5,Urban,1 vehicle,Policy Holder,No,No,Male,44,36 to 40,Married,4,Chevrolet,Sport,40000 to 59000,7 years,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,none,no change,1,0
3389,Thursday,1,May,1994,Friday,May,2,Urban,1 vehicle,Third Party,No,No,Male,24,26 to 30,Married,3,Chevrolet,Sedan,20000 to 29000,5 years,All Perils,Sedan - All Perils,2,External,400,more than 30,more than 30,none,no change,1,0
3390,Thursday,1,Feb,1994,Monday,Feb,2,Urban,1 vehicle,Third Party,No,No,Male,24,26 to 30,Single,3,Pontiac,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,13,External,400,more than 30,more than 30,none,no change,2 to 4,0
3391,Sunday,2,Oct,1994,Monday,Oct,2,Rural,1 vehicle,Third Party,No,No,Male,44,36 to 40,Married,2,Honda,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,1,0
3392,Tuesday,2,Oct,1994,Monday,Oct,3,Rural,1 vehicle,Policy Holder,No,No,Male,33,31 to 35,Married,3,Chevrolet,Utility,more than 69000,7 years,All Perils,Utility - All Perils,2,External,400,more than 30,more than 30,none,no change,1,0
3393,Saturday,3,Oct,1994,Thursday,Nov,2,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,3,Mazda,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
3394,Thursday,3,Jan,1994,Wednesday,Jan,4,Urban,1 vehicle,Third Party,No,No,Male,35,31 to 35,Married,3,Mazda,Sedan,more than 69000,6 years,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,none,no change,2 to 4,0
3395,Friday,3,Jan,1994,Tuesday,Jan,4,Urban,1 vehicle,Third Party,No,No,Female,27,31 to 35,Single,2,Mazda,Sedan,20000 to 29000,4 years,All Perils,Sedan - All Perils,6,External,400,more than 30,more than 30,none,no change,none,0
3396,Wednesday,4,Jan,1994,Wednesday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,55,41 to 50,Single,2,Mazda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,none,no change,none,0
3397,Monday,5,Jan,1994,Monday,Jan,5,Urban,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Married,4,Mazda,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,none,no change,2 to 4,0
3398,Wednesday,1,Feb,1994,Wednesday,Feb,1,Rural,1 vehicle,Policy Holder,No,No,Male,61,51 to 65,Married,1,Pontiac,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,none,no change,1,0
3399,Thursday,3,Apr,1994,Wednesday,Apr,4,Urban,1 vehicle,Policy Holder,No,No,Female,62,51 to 65,Single,1,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,11,External,400,more than 30,more than 30,none,no change,1,0
3400,Saturday,1,Jun,1994,Monday,Jun,1,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,4,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,more than 5,no change,none,0
3401,Monday,1,Jun,1994,Tuesday,Jun,1,Urban,1 vehicle,Third Party,No,No,Female,36,36 to 40,Married,4,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,none,no change,1,0
3402,Wednesday,2,Jun,1994,Friday,Jun,2,Urban,1 vehicle,Policy Holder,No,No,Male,65,51 to 65,Married,1,Honda,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
3403,Tuesday,1,Aug,1994,Tuesday,Aug,1,Urban,2 vehicles,Policy Holder,No,No,Male,47,41 to 50,Married,2,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,14,External,400,more than 30,more than 30,more than 5,4 to 8 years,1,0
